iter	Passed	Remaining
0	171	170900
1	178	89072
2	185	61778
3	192	47911
4	200	39828
5	206	34155
6	214	30438
7	221	27404
8	229	25228
9	235	23280
10	241	21727
11	247	20369
12	253	19221
13	260	18338
14	266	17480
15	271	16726
16	278	16119
17	284	15519
18	291	15033
19	296	14551
20	302	14109
21	310	13791
22	316	13456
23	324	13181
24	329	12861
25	335	12571
26	343	12362
27	348	12108
28	355	11902
29	361	11678
30	366	11468
31	374	11322
32	379	11134
33	385	10962
34	392	10817
35	397	10654
36	407	10607
37	415	10506
38	423	10423
39	429	10317
40	436	10209
41	442	10090
42	447	9970
43	455	9886
44	460	9779
45	467	9685
46	473	9600
47	478	9498
48	485	9428
49	491	9338
50	496	9244
51	503	9185
52	509	9104
53	515	9027
54	523	8997
55	529	8922
56	536	8884
57	542	8812
58	548	8755
59	557	8740
60	565	8706
61	574	8692
62	581	8651
63	587	8589
64	594	8553
65	602	8519
66	609	8490
67	617	8467
68	624	8431
69	632	8402
70	638	8357
71	646	8328
72	651	8277
73	659	8251
74	666	8215
75	673	8183
76	684	8208
77	693	8194
78	698	8149
79	707	8136
80	713	8092
81	719	8054
82	727	8039
83	733	7996
84	740	7972
85	746	7930
86	752	7891
87	758	7860
88	764	7822
89	770	7793
90	776	7754
91	781	7716
92	789	7695
93	794	7659
94	801	7635
95	810	7632
96	816	7598
97	824	7587
98	829	7553
99	836	7527
100	844	7516
101	850	7483
102	856	7460
103	861	7426
104	869	7408
105	874	7377
106	880	7346
107	887	7331
108	893	7302
109	899	7278
110	905	7253
111	911	7224
112	917	7202
113	922	7172
114	928	7144
115	936	7133
116	943	7118
117	950	7107
118	959	7102
119	965	7083
120	971	7060
121	977	7034
122	985	7027
123	991	7002
124	997	6980
125	1004	6969
126	1010	6944
127	1018	6936
128	1023	6912
129	1029	6891
130	1036	6872
131	1041	6849
132	1047	6830
133	1055	6820
134	1060	6796
135	1069	6793
136	1075	6774
137	1082	6762
138	1093	6773
139	1105	6790
140	1114	6791
141	1122	6782
142	1133	6792
143	1141	6787
144	1153	6802
145	1161	6796
146	1168	6780
147	1173	6757
148	1182	6753
149	1188	6732
150	1195	6720
151	1200	6699
152	1206	6678
153	1216	6681
154	1221	6661
155	1229	6651
156	1235	6631
157	1240	6611
158	1247	6600
159	1253	6580
160	1259	6564
161	1267	6557
162	1273	6538
163	1281	6530
164	1287	6514
165	1294	6505
166	1300	6485
167	1305	6466
168	1313	6459
169	1319	6440
170	1326	6429
171	1331	6411
172	1337	6393
173	1345	6386
174	1350	6367
175	1356	6351
176	1364	6345
177	1370	6327
178	1378	6322
179	1383	6304
180	1390	6290
181	1396	6277
182	1402	6260
183	1410	6255
184	1416	6238
185	1421	6222
186	1429	6213
187	1434	6196
188	1441	6187
189	1447	6170
190	1452	6154
191	1461	6148
192	1466	6133
193	1474	6124
194	1479	6107
195	1484	6090
196	1493	6085
197	1498	6069
198	1504	6056
199	1511	6044
200	1516	6029
201	1524	6023
202	1530	6008
203	1536	5994
204	1543	5985
205	1548	5970
206	1556	5963
207	1562	5948
208	1567	5932
209	1575	5927
210	1581	5914
211	1589	5907
212	1595	5893
213	1600	5877
214	1607	5870
215	1613	5856
216	1620	5846
217	1625	5832
218	1631	5818
219	1639	5812
220	1645	5798
221	1651	5787
222	1657	5776
223	1663	5761
224	1672	5761
225	1678	5749
226	1685	5739
227	1693	5734
228	1699	5721
229	1706	5712
230	1711	5698
231	1719	5692
232	1724	5677
233	1730	5665
234	1738	5659
235	1744	5645
236	1751	5637
